Subject1,Subject2,Subject3,Subject4,Subject5,Subject6,Predict day,Predict subject
101,102,103,104,105,106,,
101,102,103,104,105,106,,
101,102,103,104,105,106,,
101,102,103,104,106,105,,
101,102,103,104,106,105,,
101,102,103,104,105,106,,
101,102,103,104,106,105,,
101,102,103,104,106,105,,
101,102,103,104,105,106,,
101,102,103,104,106,105,,
101,102,103,104,106,105,,
101,102,103,104,105,106,,
101,102,103,104,105,106,,
101,102,103,104,105,106,,
101,102,103,104,106,105,,
101,102,103,104,105,106,,
101,102,103,104,105,106,,
101,102,103,104,105,106,,
101,102,103,104,106,105,,
101,102,103,104,106,105,,
101,102,103,104,105,106,,
101,102,103,104,105,106,,
101,102,103,104,105,106,,
101,102,103,104,106,105,,
101,102,103,104,105,106,,
101,102,103,104,105,106,,
101,102,103,104,105,106,,
101,102,103,104,105,106,,
101,102,103,104,106,105,,
101,102,103,104,105,106,,
101,102,103,104,106,105,,
101,102,103,104,106,105,,
101,102,103,104,105,106,,
101,102,103,104,105,106,,
101,102,103,104,105,106,,
101,102,103,104,106,105,,
101,102,103,104,105,106,,
101,102,103,104,105,106,,
101,102,103,104,106,105,,
101,102,103,104,106,105,,
101,102,103,104,106,105,,
101,102,103,104,105,106,,
101,102,103,104,105,106,,
101,102,103,104,106,105,,
101,102,103,104,106,105,,
101,102,103,104,106,105,,
101,102,103,104,105,106,,
101,102,103,104,105,106,,
101,102,103,104,106,105,,
101,102,103,104,106,105,,
101,102,103,104,106,105,,
101,102,103,104,106,105,,
101,102,103,104,106,105,,
101,102,103,104,105,106,,
101,102,103,104,106,105,,
101,102,103,104,106,105,,
101,102,103,104,106,105,,
101,102,103,104,106,105,,
101,102,103,104,106,105,,
101,102,103,104,106,105,,
101,102,103,104,105,106,,
101,102,103,104,106,105,,
101,102,103,104,106,105,,
101,102,103,104,106,105,,
101,102,103,104,106,105,,
101,102,103,104,106,105,,
101,102,103,104,106,105,,
101,102,103,104,105,106,,
101,102,103,104,106,105,,
101,102,103,104,106,105,,
101,102,103,104,105,106,,
101,102,103,104,106,105,,
101,102,103,104,105,106,,
101,102,103,104,106,105,,
101,102,103,104,106,105,,
